GSM2858677	GSM2858679	GSM2858680	GSM2858681	GSM2858683	GSM2858684	GSM2858685	GSM2858687	GSM2858689	GSM2858691	GSM2858693	GSM2858695	GSM2858696	GSM2858697	GSM2858698	GSM2858700	GSM2858702	GSM2858703	GSM2858704	GSM2858706	GSM2858708	GSM2858709	GSM2858710	GSM2858712	GSM2858714	GSM2858715	GSM2858717	GSM2858719	GSM2858720	GSM2858721	GSM2858722	GSM2858723	GSM2858724	GSM2858725	GSM2858728	GSM2858730	GSM2858731	GSM2858732	GSM2858733	GSM2858734	GSM2858735	GSM2858736	GSM2858737	GSM2858738	GSM2858740	GSM2858741	GSM2858743	GSM2858744	GSM2858745	GSM2858747	GSM2858750	GSM2858751	GSM2858752	GSM2858753	GSM2858754	GSM2858755	GSM2858756	GSM2858757	GSM2858758	GSM2858759	GSM2858762	GSM2858763	GSM2858764	GSM2858765	GSM2858768	GSM2858769	GSM2858770	GSM2858771	GSM2858773	GSM2858774	GSM2858775	GSM2858776	GSM2858777	GSM2858778	GSM2858779	GSM2858781	GSM2858782	GSM2858783	GSM2858784	GSM2858785	GSM2858786	GSM2858787	GSM2858788	GSM2858790	GSM2858791	GSM2858793	GSM2858794	GSM2858795
643965	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	7	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
64856	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	6	5	6	5	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
219293	6	7	6	6	6	7	7	6	7	10	6	8	6	6	7	7	6	6	6	9	7	6	7	6	7	6	6	6	7	6	6	6	6	7	6	7	6	7	7	6	6	8	6	8	6	8	7	6	7	7	7	7	9	7	8	7	8	7	7	6	7	6	7	7	6	8	6	9	7	8	6	7	6	8	6	6	7	7	8	7	6	6	7	8	6	6	6	7
83858	7	7	7	6	7	7	8	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	8	8	7	7	8	8	8	7	7	7	7	7	7	7	7	8	7	7	7	7	6	8	7	7	7	8	7	7	7	7	7	7	7	7	7	7
55210	7	7	6	6	7	7	8	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	8	6	7	7	7	7	8	7	7	7	8	7	6	7	7	7	8	8	8	7	8	8	8	8	7	7	7	7	7	7	7	7	8	7	8	8	7	7	8	7	7	8	8	8	7	6	7	7	7	7	7	7	8
142678	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
8510	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5
105378949	5	5	5	5	5	6	5	6	5	6	5	6	5	6	5	5	6	5	5	5	5	6	5	5	6	6	5	5	5	6	6	5	6	5	5	6	5	6	6	6	5	5	5	5	6	6	5	6	5	6	6	5	5	5	5	6	5	5	5	5	5	5	6	6	6	5	5	5	5	5	6	5	5	5	5	5	5	6	5	6	6	5	6	5	6	5	5	5
163688	6	6	6	6	5	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	7	5	6	6	6	6	5	5	5	6	5	5	6	6	6	6	6	6	6	5	6	5	6	5	5	5	6	6	5	5	6	6	6	6	6	6	6	6	5	6	5
2563	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
6497	7	8	7	7	8	7	8	8	8	8	8	8	7	8	7	8	7	7	7	8	8	7	7	7	7	7	8	7	8	7	7	7	8	7	7	8	8	7	7	7	7	7	8	7	7	8	7	7	8	8	8	8	8	7	8	8	7	9	8	8	8	7	7	8	8	7	8	8	8	7	8	8	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8
11079	7	9	7	6	7	7	8	8	8	7	8	8	7	8	7	7	7	7	7	8	7	7	8	7	7	7	7	7	8	8	7	7	8	7	7	8	7	7	7	7	7	7	8	7	7	8	8	6	8	8	7	8	8	8	9	8	7	8	8	7	7	7	7	7	8	7	9	9	8	8	9	8	8	8	9	8	8	7	8	7	7	7	7	8	7	8	8	8
9651	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
8764	7	7	6	6	6	6	6	6	7	6	7	6	6	6	6	6	6	6	6	7	6	6	8	6	6	7	6	6	7	6	6	6	6	6	6	7	6	6	6	7	7	6	6	6	6	7	6	6	6	6	6	6	6	7	6	6	6	6	6	7	7	6	6	6	7	6	7	7	6	6	6	7	6	7	6	6	6	6	6	6	7	6	7	7	6	7	6	7
127281	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
140625	5	5	6	5	5	5	5	5	5	5	5	5	6	5	5	5	5	6	6	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	6	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
63976	6	6	6	6	6	6	6	5	6	6	6	5	6	5	6	6	6	6	6	6	6	6	5	5	6	6	5	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	6	6	5	6	6	5	6	5	5	6	6	5	5	5	6	6	6	6	6	5	5	5	5	5	5	5	5	6	6	5	5	6	5	6	6	6	5	6	6	5	6	5
100422968	4	5	4	4	4	5	4	4	4	4	4	5	4	4	3	4	5	6	4	4	5	4	4	4	5	5	4	5	5	4	4	4	4	5	4	4	4	4	4	4	4	4	4	3	5	4	4	5	4	4	5	4	5	4	4	4	4	4	4	4	4	4	4	3	4	4	3	3	4	4	4	4	4	4	4	3	3	6	3	4	4	4	4	4	4	3	4	4
27237	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	6	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
127262	7	8	7	7	8	7	8	9	8	8	8	8	7	8	8	7	8	7	7	8	7	7	8	8	7	7	7	8	8	8	8	8	8	8	7	8	8	7	7	8	8	8	8	7	7	8	8	7	8	8	7	8	8	8	8	8	7	8	8	8	8	8	7	8	7	8	8	8	8	7	9	8	8	8	8	8	9	7	8	7	7	8	8	8	8	8	7	8
7161	5	5	5	5	5	6	6	5	5	5	5	5	6	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
148870	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4	5	4	4	5	5	4	4	5	5	5	5	5	5	5	5	4	5	4
388588	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
1677	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
100133612	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
284661	4	4	4	5	4	4	4	4	4	4	4	4	5	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	5	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
55966	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	4	4	5	5	5	5	4	5	5	5	5	4
388591	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	7	5	6	6	6	6	5	6	6	6	6	6	6	6	6
390992	4	4	5	5	4	4	5	4	5	5	4	4	5	4	4	4	4	5	5	4	4	5	4	4	4	5	4	4	4	4	5	4	4	5	4	4	5	4	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4
83715	6	6	6	5	5	6	5	6	6	6	5	6	6	5	6	6	6	6	5	6	6	6	6	5	6	6	5	6	6	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	5	6	6	6	6	5	6	5	5	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6
80835	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6	6	5	5	5	5	6	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5
3104	6	6	6	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6
148479	6	6	6	6	6	6	7	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	7	6	6	6	7	7	6	7	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	7	6	6	7	6	6	6	6	6	7	6	6	7	7	6	7	6	6	6	6	6	6	7	6	6	7	7	7	7	6	6	7	6	7	6	6	6	6	7	6	7	7	7
90326	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
23261	6	7	6	6	6	6	6	6	6	7	6	7	6	6	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	7	7	6	6	6	6	6	7	6	6	7	6	6	7	7	7	6	7	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	7	6	7	6	6	6	6	6	6	7	6	7
9341	8	8	8	7	9	7	8	9	9	8	7	9	7	8	8	8	8	7	7	8	7	7	9	8	7	8	8	8	7	9	8	7	9	8	8	9	7	8	7	8	7	8	8	8	8	9	9	7	9	9	8	9	7	9	10	9	8	8	9	9	8	7	8	8	8	8	10	9	9	8	10	9	9	8	9	8	10	8	9	8	8	8	9	8	8	9	8	10
8863	6	6	6	6	6	6	7	7	8	8	7	6	6	6	6	7	6	6	7	6	6	6	8	6	6	6	7	7	8	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	7	6	6	7	6	6	6	8	7	6	6	6	6	6	6	7	7	7	6	7	6	8	6	7	7	7	6	7	6	6	7	6	7	6	7	6	7
11315	8	8	7	7	7	7	7	8	8	7	7	8	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	8	8	7	8	7	7	7	7	7	8	8	7	7	7	8	7	8	7	7	8	7	8	8	8	7	8	8	7	8	7	7	7	7	8	8	9	7	8	9	8	8	8	8	8	8	8	8	7	7	7	8	8	7	8	8	8
102724539	5	4	5	6	5	6	5	6	5	5	5	5	6	5	5	5	6	6	5	5	5	5	5	4	6	6	5	5	5	5	6	6	5	5	5	5	6	5	6	5	6	5	5	5	5	5	5	7	5	5	6	5	6	5	5	5	6	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
50651	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
100505975	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	6	5	4	5	5	5	5	6	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	6	5	5	5	5	5	5	4	4	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	4	5	5
765	5	5	5	6	5	5	5	5	5	5	5	5	5	5	7	5	6	5	6	5	5	5	5	6	6	5	5	5	6	5	5	5	5	5	5	5	5	6	5	5	6	5	5	5	5	5	5	6	5	5	5	5	5	5	4	5	6	5	6	5	5	5	5	5	5	4	4	4	5	5	5	5	6	5	5	4	6	5	5	5	5	5	5	5	5	4	5	5
102724571	5	5	4	4	5	5	5	4	5	4	5	5	4	5	5	5	5	5	5	5	5	4	5	4	5	5	4	4	4	4	5	4	4	6	4	4	5	4	5	4	4	4	5	4	4	5	4	4	4	4	5	4	5	5	4	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	5	4	4	5	4	4	4	5	4	4	4
