Cluster_0	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Cluster_6	Cluster_7	Cluster_8
727856	0.420118512826374	-0.446967637272533	0.331623561461687	0.813793351143143	-0.279768891664498	-0.301330684404925	0.11068153850997	0.171459309421231	-0.0416028145801988
731275	-0.443091734360552	0.459125020817656	-0.418292814166829	-0.251112007045058	0.356580937088207	0.293472077954825	0.0325429952943736	0.0484913894374512	-0.009751831284267
107126290	0.0605935982369293	-0.0773085807117992	-0.0308105380595424	0.40457980949576	-0.110955136098804	0.002737463798873	0.181145740533826	0.00539078491344513	0.00385277804558613
26683	0.0801022707610866	-0.109407498944101	0.0445107515498953	0.412625693028645	-0.0890150024911419	0.00672320853290124	0.118962114543041	0.198079436527555	-0.133323927840373
4512	-0.286830822003778	0.280937100714082	-0.266858716743042	0.0463099294028557	0.150568851133622	0.119268419495003	0.0475996724292058	0.0370417222881242	-0.0592348015686836
105378580	-0.423873898819953	0.400885086871524	-0.441500301822653	-0.195202918044859	0.28146980116069	0.165244731320998	-0.0616579182922513	-0.0681914860078025	-0.210465079428761
400728	0.400374170356818	-0.40253369331355	0.342565289400666	0.381593065415293	-0.119643873659098	-0.18586909952438	0.130309654470393	0.119902752615248	-0.0251436319692807
643837	-0.151140548424966	0.125892740872187	-0.218905747659087	0.182355925820452	0.00605741999143818	0.181581220617027	0.0634856901173536	0.248128361835923	-0.0495290706659867
148398	0.338619387404565	-0.311808979881072	0.318176037160011	0.062911499825392	-0.28975591208767	-0.226757836519428	0.0520585621989163	0.10757204982281	0.0087089849781964
339451	-0.0832229163893166	0.0928049014543714	-0.0300263313725521	-0.125572759675208	0.0367873850843519	0.0514931485719943	-0.102880576067682	-0.0333258878495306	0.00252764117791038
84069	-0.273699299595936	0.257260754970445	-0.312949618502541	-0.226377008312946	0.221797597336379	0.227829453259929	-0.0586094353431664	0.00220019901577097	-0.00348410720977643
9636	-0.375170810963371	0.368487401517911	-0.3027843953517	-0.285663006384038	0.355950958082664	0.267148825484571	-0.0966921093698441	-0.156353878819147	-0.00869773439084344
375790	-0.540399910030614	0.5341243038854	-0.485063661772221	-0.566974451376248	0.322830066996729	0.473880137457884	-0.0650175323321075	-0.0591983454765155	0.0329916434448635
100288175	0.341823766975537	-0.3344529445437	0.302285515033874	0.244131051241391	-0.311668816309435	-0.242562655874223	0.0870715580285947	-0.100917965755983	-0.0201234202906877
254099	0.264854907982525	-0.255046891218795	0.194881395803251	0.101726899912004	-0.206453306336851	-0.18086531243542	-0.00346866936577245	0.249175331343882	3.37433745256756e-05
406984	0.208985200453109	-0.20670696688247	0.174554856342176	0.173746334526395	-0.193408127153101	-0.213324249449538	-0.137875669766553	0.0754110750873828	0.0510201559990085
406983	0.378398975186426	-0.340608769483578	0.423378972914846	-0.0884593454608153	-0.287370229705789	-0.273962524513319	-0.067826178003844	-0.131475779883198	0.036531484160443
254173	0.059730991951853	-0.0723545295815379	0.000545178459433748	0.134999829704866	-0.0403000114921885	-0.063458437521514	0.00664293271410149	0.984755298973367	-0.074008043110912
126792	-0.553901988746909	0.543604291652667	-0.500433451258244	-0.470026009649949	0.375822417917643	0.348304595732272	-0.0564795251311393	-0.0866325703788118	-0.18572756916177
6339	0.534216616252832	-0.544633926130416	0.376740714635336	0.68147556413899	-0.400058686786649	-0.281405890247069	0.0616656669396418	0.127200217991684	-0.03682582397968
126789	-0.0987748332229774	0.120179436244493	-0.0791132873776151	-0.175134441489991	-0.0650959525139825	-0.0793863092357199	-0.0611412373961359	-0.0130508187040014	-0.0215569175763527
80772	-0.362972528046978	0.374556565426467	-0.32625643163969	-0.377934609517981	0.362746433439169	0.171655619750587	0.0592503196614063	0.104985188341188	-0.0321585434642029
83756	0.183068143988963	-0.186023827287036	0.169230007498212	0.0823741649065517	-0.0628858728317038	-0.178544203935404	-0.0538418531207355	0.276102452837549	-0.0407221427301452
148413	-0.0500681450825452	0.04328368959679	-0.0359400387250848	-0.124906260834987	-0.0462259556744614	-0.00409755897238231	-0.10338781221732	-0.0302199360050503	0.0234594144119085
643965	0.211873715590793	-0.189063916765693	0.151262846926861	-0.04538939805907	-0.109994302096699	-0.178640203683255	-0.0654881558050778	-0.0517296639072595	-0.000383595206313523
64856	-0.171107855897887	0.167762021485823	-0.12806250984847	-0.186002092605087	0.0933942993095964	0.020306863921746	0.0266185411312809	-0.28985172483013	-0.0332305210326863
219293	-0.305150135169542	0.303699433759953	-0.266600300116906	-0.278148434039344	0.170860673557752	0.0271190063639787	-0.160431735340848	-0.0353516699362938	-0.00495048885599337
83858	-0.222359803890844	0.237919978882663	-0.192328371184783	-0.221385116273466	0.0704072546990765	0.00118075291127842	-0.109018457015813	0.00859961893693021	0.0276206639368063
55210	-0.591353034853652	0.612759545921676	-0.527448463459837	-0.520798186209765	0.347184899905538	0.235539430938239	-0.152959516290696	-0.0891148670395292	-0.0883300929765876
142678	-0.785910898917845	0.791385873034843	-0.833044634188775	-0.680508577466563	0.475878481689908	0.556079795833085	-0.0401969176986277	-0.0427735005553754	-0.150113262379987
8510	0.0740870078541654	-0.0863548265925586	0.0220371971515858	-0.0244172978585697	0.0815144089953582	0.0614337074471275	0.0591412453270127	-0.069031753610429	0.987844925825552
105378949	0.219480430814478	-0.221862944144593	0.23212000046867	0.168305789454142	-0.0901528683034679	-0.207403915284554	0.0792568550010281	0.0789352845644693	0.041261458908223
163688	0.600888564270549	-0.596865210351329	0.645102572285072	0.410526773182239	-0.35118323872224	-0.440213492712149	0.0434218346343754	0.140099233109859	0.108342900684892
2563	-0.025874150671459	0.0423482159914498	-0.0798146617108587	-0.13540028037436	-0.0403358333795912	0.0286587407378244	-0.0242260426555779	-0.0102236151040569	-0.0116439890744225
6497	-0.631018576075392	0.617899498912884	-0.552071632782054	-0.60000897759748	0.478476075994569	0.480785024348965	-0.0794526846559757	-0.0209473146385282	-0.180181987074999
11079	-0.691253538930462	0.699588933370454	-0.65822776192269	-0.608936853462715	0.582933266439473	0.534120101124474	0.202250385074781	-0.12605888266837	-0.0220728655617932
9651	0.0529064995155254	-0.0548857933122544	0.0484870335025468	0.0476535109631654	0.0422952424602187	-0.0583692101258703	0.0226994078374964	-0.0506883990494383	-0.0142453533448224
8764	-0.205288094999855	0.191996085244532	-0.150312198155166	-0.178285809550169	0.474215514781257	0.0488441698418173	-0.00481339472591702	-0.073035217130217	0.0530223407268493
127281	-0.785910898917845	0.791385873034843	-0.833044634188775	-0.680508577466563	0.475878481689908	0.556079795833085	-0.0401969176986277	-0.0427735005553754	-0.150113262379987
140625	0.409841943502702	-0.414201525731425	0.302570521748104	0.397996815851294	-0.287542586342064	-0.318940913300511	0.0365428816358426	0.21172013589943	-0.0311962706612532
63976	0.724099845311562	-0.720013939020845	0.755959878589164	0.484335671544508	-0.535468389107743	-0.464054991409603	0.115671594692765	-0.0507992265928968	0.0644946638366271
100422968	0.548737753123574	-0.535352578625611	0.505185330187239	0.386778626548363	-0.347182156588981	-0.378560443015051	0.0317662314081037	0.0460178876180885	0.0901531645412736
27237	0.0569542153038725	-0.0358546455354123	0.0332551167405472	-0.0591624279735112	-0.0969906748882895	-0.115240581584261	-0.00066815118266739	-0.026835116998148	-0.00947191237662512
127262	-0.601533780513683	0.607795635333203	-0.527545937028255	-0.489381112873045	0.444522510623214	0.467822662598015	0.0936136845280906	-0.0582372330239594	-0.187623052744738
