ANTH.TAX...CARB-ANTH.TAX	id
-1	5701
-1	79872
-1	1738
-1	51691
-1	9296
-1	55281
-1	26173
-1	84629
-1	54476
-1	5395
-1	27102
-1	9265
-1	4697
-1	23161
-1	29896
-1	54205
-1	3181
-1	79017
-1	6424
-1	136647
-1	54606
-1	222068
-1	94239
-1	51142
-1	9031
-1	9275
-1	101926943
-1	100101267
-1	3092
-1	51657
-1	7532
-1	10875
-1	6717
-1	5445
-1	5439
-1	27000
-1	5001
-1	6733
-1	6856
-1	10135
-1	83943
-1	8976
-1	441191
-1	56913
-1	26771
-1	114049
-1	101752399
-1	27099
-1	50640
-1	113878
-1	29992
-1	11014
-1	81628
-1	100316904
-1	26260
-1	137492
-1	5157
-1	23039
-1	64760
-1	10174
-1	57805
-1	55140
-1	84549
-1	9070
-1	9530
-1	23259
-1	102465696
-1	4173
-1	7336
-1	5862
-1	9650
-1	23213
-1	157506
-1	23643
-1	92421
-1	11059
-1	8895
-1	51633
-1	54704
-1	54845
-1	55656
-1	79666
-1	9791
-1	92140
-1	55353
-1	157680
-1	5440
-1	8323
-1	115908
-1	9694
-1	56943
-1	114569
-1	100302170
-1	23167
-1	51105
-1	8840
-1	54108
-1	9831
-1	2907
-1	1537
-1	3297
-1	65265
-1	157285
-1	29883
-1	51669
-1	27257
-1	54904
-1	83877
-1	5591
-1	6591
-1	9821
-1	51606
-1	10434
-1	26795
-1	55156
-1	5150
-1	80124
-1	10565
-1	10499
-1	23471
-1	6129
-1	4683
-1	389677
-1	25962
-1	94241
-1	7381
-1	26986
-1	7534
-1	51123
-1	50484
-1	51366
-1	51582
-1	81034
-1	3646
-1	84955
-1	7227
-1	5885
-1	6873
-1	79139
-1	157378
-1	50807
-1	27161
-1	442893
-1	1936
-1	286077
-1	100616318
-1	83481
-1	8694
-1	29894
-1	51160
-1	6132
-1	10671
-1	84376
-1	83940
-1	23484
-1	23212
-1	100533105
-1	9583
-1	57589
-1	6619
-1	55667
-1	54926
-1	79269
-1	116224
-1	23137
-1	23230
-1	1612
-1	1514
-1	10927
-1	23196
-1	5253
-1	138639
-1	84641
-1	4686
-1	10541
-1	10952
-1	55014
-1	27130
-1	56254
-1	23446
-1	5887
-1	7357
-1	401548
-1	1318
-1	1317
-1	9128
-1	203197
-1	22954
-1	153090
-1	92399
-1	23637
-1	10783
-1	81873
-1	26130
-1	89853
-1	1025
-1	2356
-1	10999
-1	81605
-1	4957
-1	2733
-1	6709
-1	57720
-1	8939
-1	23404
-1	25
-1	8021
-1	84726
-1	10585
-1	9329
-1	9328
-1	6130
-1	11091
-1	23203
-1	10383
-1	50808
-1	79956
-1	123
-1	401494
-1	55234
-1	2683
-1	55833
-1	203259
-1	445571
-1	375743
-1	23670
-1	7763
-1	138199
-1	2776
-1	7088
-1	29979
-1	3190
-1	23287
-1	79670
-1	4783
-1	10558
-1	3376
-1	100500918
-1	54829
-1	1842
-1	85365
-1	23071
-1	54881
-1	54534
-1	19
-1	8518
-1	23731
-1	7295
-1	23392
-1	22949
-1	9991
-1	58493
-1	81932
-1	55755
-1	26190
-1	5711
-1	51552
-1	2040
-1	4702
-1	92400
-1	54542
-1	57706
-1	5695
-1	5537
-1	3309
-1	23452
-1	6136
-1	2022
-1	8818
-1	399665
-1	25792
-1	107080620
-1	10444
-1	389792
-1	23048
-1	23064
-1	7248
-1	6834
-1	6836
-1	8019
-1	157922
-1	169714
-1	9919
-1	4851
-1	8721
-1	29952
-1	441478
-1	116225
-1	112903833
-1	55342
-1	79109
-1	401505
-1	81689
-1	25934
-1	23511
-1	246184
-1	30815
-1	5900
-1	55841
-1	3052
-1	10943
-1	5634
-1	94056
-1	5160
-1	51360
-1	6611
-1	1968
-1	5422
-1	10159
-1	8239
-1	1654
-1	2857
-1	7403
-1	8241
-1	7317
-1	369
-1	7076
-1	24140
-1	10682
-1	10013
-1	5355
-1	1184
-1	54552
-1	27301
-1	10325
-1	29978
-1	550643
-1	3476
-1	9968
-1	4841
-1	6872
-1	1349
-1	538
-1	6451
-1	139322
-1	1730
-1	139231
-1	5631
-1	11043
-1	10857
-1	292
-1	7319
-1	4694
-1	2747
-1	10735
-1	404636
-1	84295
-1	8933
-1	2332
-1	633
-1	537
-1	293
-1	25878
-1	3730
-1	8905
-1	5931
-1	5256
-1	1964
-1	23597
-1	257397
-1	9282
-1	8573
-1	54539
-1	2002
-1	8409
-1	27344
-1	10245
-1	8243
-1	3028
-1	10075
-1	23133
-1	139886
-1	92249
-1	81887
-1	29934
-1	51132
-1	22
-1	546
-1	84061
-1	51616
-1	254065
-1	1121
-1	7105
-1	79979
-1	2717
-1	90843
-1	9643
-1	5716
-1	692226
-1	55922
-1	6170
-1	3920
-1	8450
-1	29071
-1	57187
-1	51114
-1	2000
-1	57826
-1	55796
-1	159090
-1	441518
-1	26071
-1	27316
-1	286410
-1	1069
-1	3054
-1	2539
-1	100132596
-1	85012
-1	3188
-1	6173
-1	11230
-1	54906
-1	84991
-1	509
-1	83860
-1	2625
-1	10659
-1	55526
-1	8872
-1	79723
-1	8027
-1	84898
-1	8028
-1	54518
-1	51322
-1	219771
-1	5599
-1	8031
-1	8505
-1	7321
-1	7019
-1	29982
-1	221035
-1	23411
-1	3189
-1	55749
-1	79009
-1	9188
-1	6832
-1	1979
-1	8879
-1	119504
-1	54541
-1	9632
-1	118487
-1	23053
-1	132
-1	23522
-1	142891
-1	57178
-1	10105
-1	84293
-1	81619
-1	27069
-1	657
-1	54537
-1	10556
-1	84333
-1	80351
-1	9044
-1	54708
-1	23232
-1	54619
-1	84458
-1	84287
-1	55662
-1	8945
-1	9221
-1	9126
-1	8036
-1	6934
-1	374354
-1	57700
-1	9531
-1	22876
-1	55717
-1	59338
-1	23172
-1	54764
-1	56647
-1	1793
-1	10539
-1	55844
-1	23185
-1	2665
-1	11164
-1	22929
-1	64215
-1	5305
-1	10006
-1	10730
-1	80314
-1	3688
-1	8453
-1	3185
-1	100287932
-1	8030
-1	9886
-1	221037
-1	26091
-1	1763
-1	5464
-1	54788
-1	10367
-1	310
-1	26985
-1	11128
-1	101060691
-1	23063
-1	2746
-1	84896
-1	3416
-1	9124
-1	26123
-1	56889
-1	51013
-1	64210
-1	3257
-1	81894
-1	10724
-1	79591
-1	8861
-1	10121
-1	7511
-1	10285
-1	118987
-1	143384
-1	8661
-1	119559
-1	10935
-1	6001
-1	7073
-1	79892
-1	54780
-1	64421
-1	6387
-1	92170
-1	10613
-1	1147
-1	23412
-1	100532731
-1	23234
-1	60626
-1	10581
-1	8519
-1	57661
-1	64787
-1	6888
-1	6181
-1	161
-1	975
-1	8665
-1	10527
-1	7465
-1	55031
-1	9645
-1	55742
-1	10418
-1	2965
-1	3939
-1	54503
-1	10553
-1	10480
-1	79832
-1	55346
-1	283267
-1	10114
-1	4076
-1	55226
-1	847
-1	54765
-1	8539
-1	55761
-1	51144
-1	120071
-1	9776
-1	8567
-1	710
-1	25921
-1	6809
-1	79073
-1	374395
-1	10313
-1	2011
-1	10963
-1	5331
-1	25824
-1	7542
-1	740
-1	823
-1	23649
-1	5977
-1	57410
-1	399909
-1	10589
-1	10992
-1	81876
-1	22992
-1	156
-1	4041
-1	55291
-1	51400
-1	6188
-1	56946
-1	51585
-1	619383
-1	472
-1	1737
-1	9354
-1	10632
-1	4297
-1	372
-1	867
-1	6653
-1	9538
-1	10410
-1	3265
-1	347862
-1	5441
-1	10984
-1	4928
-1	1200
-1	63875
-1	81846
-1	50862
-1	1982
-1	1457
-1	84280
-1	113174
-1	2188
-1	55327
-1	1479
-1	26273
-1	7189
-1	51317
-1	55626
-1	392
-1	9793
-1	53
-1	10658
-1	23788
