treat_Ctrl	treat_Treat
Cluster_0	0.043056313670479	-0.043056313670479
Cluster_1	-0.0255539700912969	0.0255539700912969
Cluster_2	-0.00164611532447241	0.00164611532447241
Cluster_3	-0.00213558776094563	0.00213558776094563
Cluster_4	-0.0746546098735894	0.0746546098735894
Cluster_5	-0.0883404415864813	0.0883404415864813
Cluster_6	0.104718962296419	-0.104718962296419
Cluster_7	0.100279860935585	-0.100279860935585
Cluster_8	-0.0219510942371068	0.0219510942371068
Cluster_9	-0.0719104308689584	0.0719104308689584
Cluster_10	0.0772326419827476	-0.0772326419827476
Cluster_11	0.0251589962576137	-0.0251589962576137
