ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11
GSM2858756	0.12839192139225	-0.121803737676603	0.102714957390007	0.206587976850874	-0.149144391341769	-0.12139904475069	-0.039252990037133	0.0386504187343384	-0.0816454108391069	-0.0178222116116341	-0.0448538254707715	-0.0898968797973358
GSM2858758	-0.116512238339246	0.118613417019763	-0.102625105397426	-0.0929027018619404	-0.0382422931956831	0.0146077598039411	-0.00230103857545053	-0.029616935716853	0.11041377036964	-0.0194949713185956	-0.0030999636431558	-0.0897738907166835
GSM2858759	-0.0604296693304943	0.0344172615007994	0.00163480169649058	-0.0766507926367472	0.111495698964405	0.253903771143158	-0.0146444545241581	-0.0282245326326892	-0.0273438487236214	0.0117146711187753	-0.0154159938000752	-0.0681234766437073
GSM2858763	0.0868983014126443	-0.104868914587228	0.0577651627455649	0.211681754199407	-0.0921650656651837	0.0571063004205622	-0.0129125244176502	0.0121314858726975	-0.0411572793052127	0.00238182881230828	0.00222816167318702	-0.0875366987019265
GSM2858764	0.0189886094315472	-0.0272133278872443	0.039078369585885	0.150909161258047	-0.0648989710211877	0.0014369737050436	-0.0104021594371099	-0.00407077567550863	0.0164959040565894	0.00972587111261097	-0.0173981244244376	-0.0730695580903705
GSM2858768	0.00822412099400532	-0.0201525949578268	0.0429155146871613	-0.0466266657105651	0.0507754915926757	0.0191331592393431	-0.02506683917515	-0.0353726135069103	-0.0682157136450699	0.00128041919810458	-0.0258152547665721	0.17972976627694
GSM2858769	-0.117598800202305	0.119299743604292	-0.169262676172261	-0.0822813060526888	-0.0200339217833815	0.0590127311386655	0.0396170991924853	0.0122949057568877	0.094049015666554	0.0581108993538782	0.0134071116318397	-0.0888170460014328
GSM2858771	-0.128334025660246	0.127097717285083	-0.181758687043357	-0.0956037450089774	0.170296510661576	-0.049098796916837	0.00911728587528781	-0.0213778184398385	0.0829371153620924	0.0355034674167319	0.00829302747544194	-0.00135727106434692
GSM2858774	-0.127992660423788	0.135675019412487	-0.185719469055258	-0.0880583186985352	0.0258173823739863	-0.00394699733799501	0.0205592917437611	-0.00408042033736121	0.269181638735242	0.0469585015291104	0.019709647470859	0.0255877160126379
GSM2858776	-0.1583507916917	0.151492103659439	-0.211630131344086	-0.0980734178145303	0.153887315732778	0.0114024486691115	-0.000292767610015385	-0.011927797501989	0.160690348093285	0.0355034674167319	0.00829302747544194	0.105177863701992
GSM2858779	-0.0857440348464193	0.0845731557468837	-0.0913604933792289	-0.0741856812343331	0.00509736251583591	0.17118096826884	0.00345269981449875	-0.0158127931759543	-0.0554560566821912	0.0298324314720963	0.00264100918155564	-0.120808010836775
GSM2858781	-0.114872672435504	0.113996921412378	-0.158675806794339	-0.0753567358576021	-0.0289861795852115	0.139858334958934	0.00205741908489233	-0.0167697315189006	-0.00775780792749824	0.0284355620299975	0.001248824099678	-0.0826031695871844
GSM2858782	-0.242539568415898	0.280599548179031	-0.214837735490738	-0.129487880853111	0.0191303221122188	0.0501763368627156	0.0277234969309603	-0.0410498109519864	0.120220270094908	-0.977415432398425	0.04265974689734	-0.00156924545617468
GSM2858783	-0.0589670211202536	0.0322500579919371	-0.0436193685012887	-0.0422752949122893	-0.0711531178779831	-0.0636298524103148	0.00826384743325182	-0.00247699955169567	0.13942066714449	-0.000210482321103637	-0.00191168802129159	-0.106931548391716
GSM2858786	0.0700217101513821	-0.0774507265213993	0.0595015405364962	-0.031686373441839	0.0321640291407331	-0.0343914450514218	-0.0201495383108363	-0.0320001353804533	-0.0475187291465424	0.0062033190627818	-0.0209088637005014	0.203853966611316
GSM2858787	0.0221748590105173	-0.0478513069608722	0.0509949121986558	-0.0374841575781058	-0.0435952406593052	0.106499964691203	-0.00817852515262983	-0.0302099593840504	-0.128102079941296	0.00881648861940636	-0.0183044573304377	-0.105435278551337
GSM2858680	0.17284457840256	-0.17704643559506	0.120603082822094	0.302199269181886	-0.143909904961009	-0.117156089079445	-0.00120163564000784	0.214806400847175	-0.0762658067330973	0.0253094827702549	-0.0270410608552657	-0.0895937452734673
GSM2858683	-0.0457994400188575	0.0361625705657127	0.00701149502472984	-0.0766241808199877	0.17876468702593	0.100633982783871	-0.0195695966582175	-0.036156857465362	0.0735255559661598	0.00013563653913136	-0.0269561984308706	-0.0208620030611807
GSM2858697	-0.0540477465581216	0.0583340510270358	0.0104499302752023	-0.0807046529248141	0.135100974554215	-0.0452200089833342	-0.024707273704225	-0.0351260093801374	0.0956125882430591	0.00164039408209141	-0.0254564870476763	0.208881269778185
GSM2858702	0.121825780080509	-0.129145821324625	0.0756928494094147	0.213033297891894	-0.0932944554842494	-0.0963981204576726	-0.0159496425929326	0.0721642054113045	-0.0792223781902359	-0.00516736441107966	-0.0322414159247646	-0.0684461088895004
GSM2858704	0.156962180580872	-0.140777635462373	0.109950019504662	0.021422051500241	-0.080863518357796	-0.126767130570866	-0.00737104807600649	-0.0275738605063594	-0.119824466802367	0.05626726479979	-0.0144693747894075	0.0199259201736564
GSM2858706	-0.013086619438981	0.0102003714615849	0.0437169224841599	-0.0508069561068489	0.0492391709080638	-0.172751429214043	-0.0268217120805625	-0.0365761742918862	0.0523124759811511	-0.000476451863269057	-0.0275662342129776	-0.0785593314312785
GSM2858712	-0.0221951071343341	0.0134271394481641	0.0411995798828059	-0.0259552000856901	0.0076594610917197	-0.0610396021573679	-0.0268217120805625	-0.0365761742918862	0.00140000547856361	-0.000476451863269057	-0.000654399101697945	0.0365484439126861
GSM2858719	0.0994089753433949	-0.0911760690838328	0.0651976549139758	0.0694725723898138	-0.123593322581517	0.00901937120351228	-0.0163825330330641	-0.0190415455860336	-0.0680386504411509	0.00997461357655985	0.00977959811642814	-0.0732434605598403
GSM2858722	0.0741670932808817	-0.0619705682732365	0.0594400728039546	-0.0180424081028418	0.0145768835631304	0.0327989542897121	-0.00763449368369746	-0.0275738605063594	-0.13955090852969	0.0126644752694764	-0.0144693747894075	0.00168117059216842
GSM2858728	-0.0600980606118907	0.0509411915394514	-0.0211170455376661	-0.0381846441712188	0.040100714235751	0.0945706711490521	-0.00934629362236643	-0.0245908457290841	0.071711046738062	0.0170188646806854	-0.0101295876938701	-0.0832713903662521
GSM2858730	-0.0227290268894483	0.0221140710196473	0.0394464228367735	0.0403217233550913	0.069824161604243	-0.0903126977671364	-0.0364144130464352	-0.0431552254977686	0.06597540743634	-0.0100800753937104	-0.0371376522769024	0.0825927177738051
GSM2858731	0.147410776459265	-0.150333430716118	0.0870879585108616	0.110104761499279	-0.0577673703765213	-0.0080954604015233	-0.0121229324303203	-0.0244251372708026	-0.107322376647575	0.00309823662694109	-0.0240035333345384	-0.0847683950063172
GSM2858732	0.1157645793874	-0.104196506430379	0.0811246869535367	0.218216890907649	-0.0279991456759484	-0.0776150520536904	-0.0364144130464352	-0.0234241212650575	-0.115876117759765	-0.0100800753937104	-0.0371376522769024	0.0302052057759765
GSM2858734	0.0125575398985962	-0.0276808230326274	0.0442919422546808	0.0612613138531059	0.0779476999200769	0.00712823731875134	-0.0201495383108363	-0.0238170120747296	-0.0326779294723999	0.0062033190627818	0.00601438402278854	0.0718417691021278
GSM2858735	0.112561442590172	-0.0908533605321175	0.0730312121865172	-0.0139939638283932	-0.00817361813259777	-0.144855822822631	-0.0172121927365177	-0.0299855883814834	-0.1227634314886	0.00914400919530251	-0.0179780350850735	0.0398037728432084
GSM2858736	-0.0413353217779646	0.0282943549630704	0.00822778183123309	0.00212840698034181	0.0386013561253001	-0.0447781379659423	-0.0207264041669033	-0.0323957726487776	0.113088448186161	0.00562579636829322	-0.0214844496897723	0.0731535959950718
GSM2858743	-0.037594374921319	0.0379548363081503	0.0153274340731388	-0.0680016227977225	0.131320776369363	0.0107402558756394	-0.0136957306216706	-0.0275738605063594	0.104182609552356	0.0126644752694764	-0.0144693747894075	0.377809243436137
GSM2858744	0.277077934855036	-0.304310317395779	0.224981676785677	0.352730942934811	-0.171343560415471	-0.214117488958115	0.977053823443233	0.668906398361505	-0.220872965887731	-0.0422208045998495	-0.0691705985014428	-0.0722778238145322
GSM2858752	0.0587504183998187	-0.0453718713397671	0.0617028273559553	-0.0318301565278521	-0.0692706787862239	0.132057607976886	-0.0130815790125189	-0.0156811400805743	-0.0905787218813973	0.019615486839754	-0.00754167323015574	-0.102604735952966
GSM2858754	-0.146572097570359	0.156727149293322	-0.200392346253417	-0.101097376068854	0.17471338762287	0.136275843636923	0.00164241886182437	-0.0033790102093741	0.0659963560073684	-0.0092381770332303	0.00693026098756872	0.050485651733116
GSM2858757	-0.145630143588369	0.163070571610361	-0.165471945331792	-0.0840285176655286	0.0346515081017439	0.0422558869368303	0.0254798614629479	-0.00419911343006099	0.154823447901385	0.00347502699416329	0.0653620244659755	-0.045035170254798
GSM2858762	0.0211877583423635	-0.0345735610781008	0.0452162673359035	0.169613706603595	0.0603327496267046	-0.0879543525600268	-0.0252384734179262	-0.0354903270138699	-0.0587689390806042	0.00110858952693907	-0.0259865082120345	0.0825773862119394
GSM2858765	-0.058276326976102	0.0423970794041784	-0.0395891338123922	-0.0502283089977327	-0.0856812448446306	-0.0785769928735467	0.00707196013950785	-0.00175067818425248	0.0530486984924388	0.0494630010426712	-0.0030999636431558	-0.0403740770403338
GSM2858770	-0.175963518287878	0.187372210438721	-0.21085267888239	-0.102054542745233	0.220078162404466	0.134293860470753	-0.0198472968247267	-0.0132868941456705	0.0104517349418883	0.0532941248820498	0.0260240244988975	0.352707408618346
GSM2858773	-0.142232869031041	0.129502294018675	-0.199203371164031	-0.096816051771019	-0.0050753912461112	0.0855094217614661	0.00205741908489233	-0.0167697315189006	0.0848996549448817	0.0284355620299975	0.001248824099678	-0.0111608682150941
GSM2858775	-0.16693875042788	0.182630893679776	-0.215489666036027	-0.107446221437214	0.111420253637646	0.182352798574486	0.0103106736781214	-0.0111093252603076	0.10442927740092	0.0366982140501366	0.00948376756146628	0.0904362022601871
GSM2858777	-0.139495399486873	0.146672581044681	-0.196565837589752	-0.0919171949734671	0.0569372247818359	0.288691872254016	0.00843408459437992	-0.0286661004067331	0.0333923739569889	0.0188261230901616	0.0169918805854412	-0.0537870695298126
GSM2858778	-0.0124780890372743	-0.023865579620158	0.0395869558793852	-0.051683753337239	-0.0160267194372611	-0.0189640099112472	-0.0162697777177981	-0.0293392431355087	0.0214649340303853	0.0355538174239743	-0.0170377109609318	-0.0885885968341813
GSM2858784	-0.132125146156207	0.122910568921172	-0.200328916010615	-0.0759137961672892	0.173494019520495	0.0255596025953764	0.0111492028593237	-0.0169648811849661	0.341473408104159	0.0281506966495142	0.000964914006794509	0.0114770261992742
GSM2858785	0.0157317350208409	-0.0248536519329767	0.0492196000091571	-0.0307683075223442	-0.0653828019727184	-0.0900032291981196	-0.00146912571195631	-0.0191883744934755	0.0638247804894257	0.0249050017933489	-0.00226989650798836	0.0215892580314503
GSM2858788	-0.0765978151301909	0.0487693094689606	-0.0688295310227782	-0.0765155044021787	0.188343620440774	-0.0329887461173712	-0.00758582552752558	-0.0233834475433713	0.139298631551433	0.0187813373023541	-0.00837302547183586	0.103961757975511
GSM2858790	-0.0483607119137815	0.0124277995041665	-0.00224433400290416	-0.0587697182338984	0.0811388579775919	-0.0118070102172676	-0.0207264041669033	-0.0323957726487776	0.0484538312585416	0.00562579636829322	-0.0214844496897723	0.064297635501268
GSM2858791	0.00487609839563471	-0.038202032093206	0.044138192205113	-0.0350719658628237	-0.0648096872743768	-0.0289338931054752	-0.0110633041090501	-0.0299855883814834	-0.0648570902535464	0.00914400919530251	-0.0179780350850735	-0.0694995153325757
GSM2858793	-0.184463369650204	0.176598750887386	-0.214429061173166	-0.096731595662533	0.208317299819823	0.135788903375729	-0.00401059829212523	-0.0130004374558558	0.117687976491933	0.0464098352659105	0.0191628211436908	0.200693517799859
GSM2858794	-0.0323116107315328	0.0130504517329829	0.018040580703869	-0.0577080654710129	0.073431721940279	0.0929013855662225	-0.0121298101147839	-0.0310681568119403	0.0188792923085407	0.00756375402982313	-0.0195529909117503	-0.0276815727240252
GSM2858795	-0.155741271708518	0.150123418672909	-0.197850120804185	-0.0877655680623811	0.222936323162338	0.114008461787106	-0.0148698982075472	-0.0131951902904849	0.0722218401113482	0.0336534190092916	0.00644918315043478	0.0447894452136577
