GSM2858678	GSM2858682	GSM2858686	GSM2858688	GSM2858690	GSM2858692	GSM2858694	GSM2858699	GSM2858701	GSM2858705	GSM2858707	GSM2858711	GSM2858713	GSM2858716	GSM2858718	GSM2858726	GSM2858727	GSM2858729	GSM2858739	GSM2858742	GSM2858746	GSM2858748	GSM2858749	GSM2858760	GSM2858761	GSM2858766	GSM2858767	GSM2858772	GSM2858780	GSM2858789	GSM2858792
148870	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5
388588	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6
1677	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
100133612	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5
284661	4	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4	4
55966	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5
388591	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
390992	5	4	5	4	4	5	4	4	4	5	5	5	5	5	5	4	4	5	4	5	5	5	4	4	4	4	5	4	4	4	4
83715	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	6	5	6	6	5	6	5	6
80835	5	5	5	5	6	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	6	5	5	5	5	5
3104	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	5	6	5	6
148479	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6
90326	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6
23261	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
9341	8	8	7	8	8	8	8	7	7	8	8	7	7	7	7	9	8	7	7	7	7	7	7	7	9	7	7	8	9	8	8
8863	6	6	6	6	6	7	6	6	6	6	6	7	6	6	6	7	6	6	6	7	6	6	6	6	7	6	6	6	6	5	6
11315	7	7	7	7	7	7	7	7	7	8	8	7	7	7	7	8	7	7	7	7	7	7	7	7	8	7	7	7	8	7	7
102724539	6	5	6	6	6	6	6	5	6	6	5	6	6	6	5	5	6	5	6	6	5	5	6	6	5	5	5	5	5	5	6
50651	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5
100505975	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5
765	5	5	6	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	5	5	5	4	5	5
102724571	5	4	5	5	5	5	5	6	5	4	4	4	4	5	5	5	5	5	4	5	5	5	5	4	4	4	4	4	4	4	5
9563	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	8	6	7	7	7	7	6	7	7	8	7	7	7	7	7	7
80176	6	6	7	7	6	7	7	6	7	7	7	7	7	7	6	6	6	6	6	6	6	6	7	7	7	6	6	7	7	6	7
199953	6	6	6	5	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	5	5	6	6	6	6
5293	6	6	6	6	6	7	6	7	7	6	7	6	7	6	7	7	6	7	6	6	6	6	7	6	7	7	7	6	7	6	7
