GSM2858678	GSM2858682	GSM2858686	GSM2858688	GSM2858690	GSM2858692	GSM2858694	GSM2858699	GSM2858701	GSM2858705	GSM2858707	GSM2858711	GSM2858713	GSM2858716	GSM2858718	GSM2858726	GSM2858727	GSM2858729	GSM2858739	GSM2858742	GSM2858746	GSM2858748	GSM2858749	GSM2858760	GSM2858761	GSM2858766	GSM2858767	GSM2858772	GSM2858780	GSM2858789	GSM2858792
9928	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	5	6	6	6	5	6	5	6	7	6	6	6
83479	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	8	7	7	7
23046	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	5	6
779	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5
647219	5	6	4	5	5	5	5	6	5	5	5	5	6	5	5	5	5	5	5	6	5	5	5	4	4	4	5	5	4	5	5
252839	7	7	7	7	6	6	6	6	6	7	7	7	6	7	6	7	7	6	6	7	7	7	6	7	7	6	7	7	7	6	7
7135	6	7	6	7	7	6	7	6	7	6	6	6	6	6	5	6	6	6	6	6	6	7	6	6	6	6	6	6	5	6	6
23612	7	8	8	7	7	7	7	6	7	8	7	7	8	7	8	6	7	7	7	7	7	7	7	7	7	6	6	6	6	7	7
1465	7	7	7	8	7	7	7	7	7	8	7	7	7	7	7	8	8	8	7	7	7	7	7	7	9	7	8	10	8	9	7
100873949	7	7	7	7	7	7	7	6	7	7	7	6	6	6	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7
25802	6	6	5	5	6	6	6	5	6	6	5	5	6	6	6	5	5	5	6	6	5	6	6	6	6	6	6	8	5	6	5
127829	8	7	8	7	7	7	7	7	8	8	8	8	8	7	7	9	8	8	7	8	7	7	7	7	9	8	8	9	8	8	8
5778	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	7	6	6	6	6	7
29089	8	7	7	7	7	7	7	7	7	6	7	7	7	7	6	8	7	7	7	7	7	7	6	7	8	7	7	8	8	8	7
127833	5	5	5	5	5	6	5	6	5	5	5	5	6	5	5	5	6	6	5	5	5	5	5	5	5	5	5	6	5	5	5
10765	9	8	8	8	7	7	8	7	7	8	8	8	7	8	7	7	8	7	7	8	7	7	7	7	8	7	8	9	9	8	7
5877	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
59349	7	7	6	7	6	6	7	6	6	7	7	7	6	6	6	7	7	6	6	7	7	6	7	6	7	7	7	7	8	7	7
51094	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	8	7	7	7	8	7	7	7	7	8	7	7	8	10	8	8
51706	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	5	6	6	6	6	6	7	6	6
4656	6	6	6	6	7	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6
4608	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6
1116	12	8	9	8	8	8	7	8	7	7	8	8	10	8	8	11	9	9	7	11	7	8	7	9	11	8	10	9	10	12	11
730227	5	6	6	6	6	6	6	6	6	5	5	5	6	5	5	5	5	5	6	5	5	5	5	5	5	6	6	5	5	5	5
2331	7	7	7	8	7	8	7	7	7	8	7	7	6	7	7	6	7	8	7	6	7	7	7	8	8	7	7	9	12	7	6
55224	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	6	6	6	6	6	6	6	6	6	5	6	5	6
5972	5	6	5	5	6	6	6	6	6	6	5	5	6	5	6	5	5	5	6	5	5	5	5	5	5	5	5	5	4	5	6
3814	5	5	5	5	5	5	5	5	5	6	5	5	6	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5
127845	6	6	6	7	6	5	6	6	6	6	6	6	6	5	6	5	6	5	6	6	6	7	6	6	5	6	6	5	5	5	6
22874	7	7	7	7	6	6	7	6	6	7	6	7	7	6	6	6	6	6	7	7	7	7	6	6	7	6	7	6	6	6	6
127841	5	7	5	6	6	5	6	6	6	5	6	5	6	5	6	5	5	6	6	6	5	5	6	6	5	6	6	4	5	5	6
84919	7	7	7	7	6	7	7	7	7	7	7	7	7	6	7	8	7	7	6	8	8	6	6	6	8	7	7	8	11	9	9
5287	6	6	6	6	7	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	7	6	7	6	6	6	7
10446	6	6	6	6	5	6	5	5	5	6	6	5	6	5	6	5	5	5	6	5	5	6	5	5	5	5	6	5	5	5	6
5929	4	5	5	5	5	5	4	4	4	5	5	5	5	5	5	4	5	5	4	5	5	4	5	4	4	4	4	4	5	4	4
25778	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6
81788	5	5	5	4	5	5	5	5	5	5	5	4	5	5	5	4	5	4	5	5	5	6	5	4	5	5	5	4	5	5	5
55220	6	6	5	6	6	6	6	6	5	5	5	5	6	5	5	5	5	6	5	5	5	6	5	5	5	5	6	5	5	5	5
93273	5	6	5	6	5	5	5	6	5	5	6	5	6	5	5	4	5	6	6	5	5	5	5	6	6	5	6	7	4	5	6
442891	4	6	5	4	5	5	5	5	5	4	4	4	5	5	5	4	4	4	5	4	5	5	4	4	4	5	6	4	4	4	4
2005	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7
64710	13	10	12	11	9	9	10	11	10	12	13	12	12	11	10	12	11	12	11	13	11	9	9	10	12	9	11	13	13	13	12
8934	7	7	7	7	7	7	7	7	7	7	6	7	7	6	7	7	7	7	7	7	7	6	6	7	7	7	7	7	8	6	7
254428	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	7
148811	6	6	5	5	6	5	6	5	5	6	5	5	6	6	5	5	5	6	6	5	5	5	5	5	5	5	6	5	5	5	6
115019	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	4	5	5	4	4	4	6
574431	6	6	6	6	6	6	6	6	6	6	5	5	7	5	6	5	5	5	6	5	5	5	6	6	5	6	6	5	5	5	6
1939	7	7	6	7	6	6	7	7	7	6	7	7	7	6	7	7	7	7	7	7	7	6	6	6	7	6	7	7	8	7	7
3586	5	6	5	5	6	5	6	5	5	5	5	5	6	5	6	5	5	5	6	5	5	5	6	5	5	5	5	4	4	5	5
9214	6	6	5	6	6	6	6	6	7	6	5	6	6	5	7	6	6	6	6	6	6	6	6	6	6	7	7	5	5	6	6
5284	7	6	5	6	6	6	7	6	6	6	5	5	6	5	8	5	5	5	5	16	6	6	7	5	5	5	6	5	5	7	8
83953	6	6	5	6	6	6	6	6	6	5	5	5	6	5	5	5	5	5	6	5	5	6	6	6	5	5	5	5	8	5	5
79098	7	8	7	7	7	7	8	7	7	6	7	7	7	6	6	6	7	6	7	6	6	7	6	7	8	6	7	7	7	7	7
55432	8	9	8	8	10	9	10	7	8	8	8	6	7	6	7	8	5	6	8	7	6	7	8	12	8	10	11	8	7	8	8
947	6	5	5	6	7	6	6	6	6	5	6	5	6	5	6	5	6	5	6	5	5	5	5	6	5	6	6	5	5	5	5
5362	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	6	6	6	6	8	6	7	8	6	7	8
3914	6	6	6	6	6	6	6	7	6	6	7	6	7	7	6	6	6	7	6	6	6	6	6	7	6	6	6	8	7	8	6
101930114	6	6	5	6	6	5	6	5	6	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	5
148304	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	8	6	7	6	7	6	6
3756	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6	6	5	5	5	5
343035	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	5	5
7779	7	6	6	6	5	6	6	6	6	7	6	6	6	6	6	7	5	5	6	6	5	6	5	6	7	6	7	7	6	6	5
4751	6	6	6	6	5	6	5	6	6	6	6	5	6	5	5	6	6	6	6	5	5	5	6	6	6	5	6	6	6	6	6
9926	8	7	6	7	6	6	7	7	6	7	6	6	6	6	6	7	7	7	6	9	7	7	6	6	7	6	7	7	8	7	7
25896	7	6	6	6	6	6	6	6	6	6	7	7	6	6	6	7	7	7	6	7	7	6	6	6	7	6	7	7	8	7	6
101929541	5	6	5	5	6	6	6	6	5	5	5	5	5	5	5	5	5	6	6	5	5	6	6	5	5	5	5	5	5	5	5
55248	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
105372907	7	8	6	7	7	7	6	6	7	6	6	5	6	6	5	6	5	5	7	6	6	6	6	7	6	6	6	6	5	6	6
55509	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	5	5	6	6
25936	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	7	6	6
149643	5	5	5	5	5	5	5	5	5	5	5	6	5	5	6	5	6	5	5	5	6	6	6	4	5	4	5	4	4	4	5
642946	6	6	6	5	5	6	6	6	6	7	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
90806	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	7	6	7	7	7	6	6
5784	8	7	8	7	7	7	7	7	7	7	8	7	7	7	7	8	8	7	7	7	7	7	6	8	8	7	7	8	10	7	8
7399	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5	4	4	4	5
55105	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	7	6	6
103752555	5	5	4	5	5	4	5	5	4	5	4	4	5	4	4	4	5	5	6	5	4	5	4	5	4	5	4	4	4	4	4
643723	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	4	4	5
55532	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5
2058	9	8	8	8	6	7	8	8	8	7	9	8	8	7	7	9	8	8	7	9	9	7	7	8	8	7	9	9	10	9	8
10380	7	7	7	6	6	6	7	6	6	6	7	7	6	6	6	6	7	6	6	8	7	6	6	6	6	6	6	7	7	7	7
406997	5	6	5	6	6	5	5	5	5	6	6	6	4	5	5	5	5	5	6	5	5	5	6	6	5	5	6	5	5	5	6
406969	4	6	5	4	4	4	4	5	5	5	4	4	4	4	5	4	5	5	4	5	4	5	4	4	4	4	4	5	4	4	5
25782	7	7	6	7	6	6	7	7	6	6	7	7	6	6	6	7	7	6	6	7	6	6	6	7	7	6	7	7	8	7	6
100302234	10	10	9	10	8	9	9	11	9	9	9	12	9	10	10	8	10	10	8	11	10	10	9	10	9	8	9	9	8	8	10
100873924	5	6	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4	4	5	6
400804	5	6	5	6	5	6	6	5	5	6	5	5	6	5	5	5	5	5	6	5	6	5	5	5	4	5	5	5	5	5	5
11221	7	6	6	6	6	6	7	6	6	7	6	6	6	6	6	7	6	6	7	6	6	6	6	6	7	7	6	6	7	6	7
105372950	6	7	6	6	6	6	6	6	6	6	6	5	6	5	5	5	5	5	6	5	5	6	6	7	5	6	6	6	5	5	5
79802	7	6	5	5	5	5	6	5	5	6	5	5	6	5	6	6	5	5	5	6	5	6	5	6	5	5	6	5	5	5	6
9015	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	7	6	6	6	5	6	6	7	6	6
7100	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
55061	7	7	7	7	6	7	6	7	6	6	7	7	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	6	6
388743	5	6	5	5	5	5	6	5	5	6	5	5	5	5	5	4	5	5	6	5	5	8	5	6	5	5	6	5	4	5	5
7159	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	9	7	8	10	9	8	8
142	8	7	8	7	7	6	7	7	7	7	8	8	7	7	7	8	8	8	7	8	7	7	7	7	8	7	7	7	10	9	8
101927143	6	7	5	6	6	6	6	6	5	6	6	5	6	6	6	5	5	6	6	6	5	6	7	6	5	5	5	5	5	5	5
4931	8	8	8	8	7	8	8	7	7	7	8	8	8	7	8	7	8	8	7	8	7	7	7	8	8	7	8	8	8	8	8
80232	8	8	8	8	7	7	8	7	7	8	8	8	7	7	8	9	8	8	7	8	8	7	7	8	9	8	8	8	10	8	8
100616468	6	6	5	6	6	6	7	6	6	6	4	5	6	5	6	5	5	5	6	5	6	6	6	7	5	6	5	6	6	5	6
3930	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	6	6	7	7	7	7	7	7	7	7
55740	11	8	9	10	8	8	8	9	8	9	9	8	8	9	7	9	10	9	9	10	9	8	8	9	8	7	9	10	11	9	9
9725	8	8	9	9	7	7	8	7	8	7	8	8	8	8	8	7	8	9	8	8	8	7	7	8	9	7	8	8	9	8	9
7044	5	6	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6	6	5	5	5	5
163859	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	6	6	7	6	6	6	7	6	6	7	7	7	6
64746	10	9	10	9	8	8	9	9	9	9	10	9	8	9	8	11	10	10	9	10	9	8	9	10	11	8	9	10	12	11	10
286826	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6
3707	6	6	7	6	6	6	7	6	7	6	6	7	6	7	7	7	7	7	6	7	7	6	7	6	8	6	8	7	9	7	6
100506443	6	6	6	5	7	7	6	6	6	6	6	5	6	7	6	5	5	5	6	5	6	6	6	7	6	6	6	5	5	5	5
8476	8	8	7	8	7	7	7	7	6	7	7	8	7	7	6	9	7	8	7	8	7	7	6	7	8	6	7	9	8	9	8
65094	6	7	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	7	6	7	7	8	6	7
7483	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	5	6	6
79169	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
128308	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6
574432	6	6	5	6	6	6	6	5	5	6	6	5	5	5	5	5	4	5	5	6	5	5	6	6	6	7	8	6	6	5	6
574407	7	7	6	7	7	7	7	7	7	7	6	6	7	6	7	6	6	6	6	7	6	7	7	7	6	6	7	6	6	6	7
81559	5	6	6	5	6	5	5	6	6	5	5	6	6	6	6	5	6	5	5	6	6	5	5	5	6	6	6	6	6	6	6
51127	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	6	6	5	6	5	6	6	6	6	6	6	6	6	5	6
8290	5	4	4	4	4	5	4	5	4	5	4	5	5	5	5	4	5	4	4	5	5	5	5	4	4	4	4	4	4	5	5
92815	5	6	6	5	5	5	5	6	6	6	6	6	6	6	6	5	6	7	5	7	6	6	5	6	6	6	6	6	6	6	7
100169751	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
100169760	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
105373159	5	5	5	5	5	6	5	5	5	6	5	5	5	6	6	5	5	6	5	6	5	6	6	6	5	6	6	5	6	5	5
126731	7	7	7	7	6	6	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	6	6	6	7	6	7	7	7	7	7
58	7	6	7	7	6	6	6	7	7	8	7	7	7	8	7	7	7	8	7	7	7	7	6	7	9	6	7	11	7	7	7
55746	6	6	6	6	6	6	7	5	6	5	5	6	5	5	6	6	6	5	5	6	5	6	6	7	6	6	7	6	6	5	6
23456	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	7	7	6
27097	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	7	7	6	6
79605	6	5	6	6	6	6	6	6	5	5	5	5	6	5	5	5	5	5	5	5	6	6	6	6	6	5	6	6	5	5	6
79573	7	7	7	7	6	6	7	7	7	6	7	7	6	6	7	7	7	7	6	7	7	6	6	6	7	6	7	7	7	6	7
375061	6	6	5	6	5	6	5	6	5	5	5	5	6	5	6	5	5	5	5	6	5	5	6	6	5	5	6	5	5	5	5
149373	5	6	5	5	6	6	6	6	5	5	5	5	5	5	5	4	5	5	5	6	5	6	6	5	4	5	5	4	4	4	5
128061	7	7	6	7	6	6	7	7	7	6	7	6	7	6	6	7	7	6	7	6	6	7	7	7	6	6	7	7	7	7	7
149371	7	6	6	6	5	6	6	5	6	6	6	6	5	6	6	7	6	5	6	6	6	5	6	7	6	6	6	7	6	6	6
54583	7	7	7	7	6	7	7	8	7	7	7	7	7	8	7	9	7	7	7	8	7	7	6	7	8	7	7	9	9	7	8
122526782	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	7	7	6	7	7	7	7	7	6	7	7	7	7	8
100287814	5	5	5	5	5	5	6	5	6	4	5	4	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	5	5	5	5
105373170	6	5	5	6	6	6	5	6	5	5	5	5	5	6	5	5	5	5	6	5	5	5	5	6	5	5	6	5	5	5	5
57568	7	7	8	8	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	8	7	7	7	7	8	7	8	9	6	8	7
101927683	5	5	5	6	5	5	6	5	5	6	5	5	7	5	5	4	5	5	6	5	6	5	6	5	4	5	6	4	4	5	5
80003	7	7	7	7	7	7	7	7	7	6	7	6	6	6	7	6	7	7	7	7	7	7	7	7	8	6	7	8	7	7	7
6894	7	8	7	7	6	6	7	7	6	6	7	8	7	7	6	6	7	7	7	7	7	6	6	7	8	7	7	9	10	7	7
100506795	5	6	5	6	5	5	6	5	5	5	5	5	5	5	5	4	4	5	5	6	4	5	5	5	4	5	5	5	4	4	5
359948	9	9	9	9	8	8	9	9	9	9	10	10	9	9	10	9	10	10	10	10	9	8	8	9	11	8	9	11	11	10	10
9804	10	9	9	10	7	8	8	9	8	8	10	10	9	8	8	9	9	11	9	9	9	8	7	9	10	8	9	12	12	9	9
677802	16	17	17	17	15	17	14	16	16	17	15	18	16	17	17	14	17	18	17	17	17	16	16	17	17	15	17	18	18	16	17
100616224	5	5	5	5	6	4	5	6	5	5	5	5	5	6	4	5	5	5	6	5	6	6	5	4	5	4	4	5	4	4	6
148789	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	8	8	7	7
2786	6	6	7	7	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	7	5	7	6
1130	6	6	6	6	6	6	7	6	7	6	6	6	7	6	7	7	6	6	8	6	6	6	7	6	7	7	7	6	7	6	7
100302139	7	7	7	7	8	7	8	6	8	5	8	7	6	7	6	5	5	6	8	6	6	7	7	6	5	7	7	5	5	5	6
26832	15	12	17	13	13	13	14	13	15	17	14	15	14	14	15	16	12	14	12	14	15	13	12	15	16	15	15	16	15	12	13
4811	7	6	6	7	7	7	6	6	6	8	7	6	6	7	7	9	7	6	6	7	7	6	7	7	7	6	7	8	8	8	6
56605	7	7	6	7	7	6	7	7	6	7	6	7	7	7	7	7	6	7	7	7	7	7	7	7	7	6	7	6	7	6	7
100287902	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	4	4	4	5	5	6	4	4	4	5	5	4	4	4	5
55127	8	7	7	7	6	7	7	7	7	7	8	8	7	7	7	8	8	9	8	7	6	6	7	7	8	7	8	9	12	8	8
645745	4	4	4	5	4	4	5	4	5	5	5	5	4	5	4	4	4	5	4	4	4	4	5	5	4	4	5	4	4	4	4
57829	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	4	5	5	4	4	4	5
339535	5	6	5	5	5	5	5	5	5	5	5	4	5	5	4	4	5	4	5	4	5	5	4	6	4	5	5	5	9	5	5
100506915	5	7	6	6	6	6	6	6	6	6	6	7	5	5	6	5	7	6	7	6	6	6	6	6	6	5	6	6	5	5	5
100873984	5	6	6	5	5	5	6	6	5	6	5	5	6	5	5	5	6	7	6	5	6	5	6	6	5	5	6	5	4	5	5
64388	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	6	6	5	5	6	5	5	5	5
100506929	4	4	5	5	5	5	5	4	4	5	4	4	5	6	5	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4	4
6000	5	6	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	4	5	5
2271	6	6	6	6	5	5	5	6	6	6	7	6	6	6	6	7	6	8	6	7	6	5	5	6	6	5	6	7	7	6	6
23596	7	7	7	7	6	7	7	7	6	7	7	7	7	7	7	7	6	7	7	7	6	6	6	7	7	6	6	7	6	7	7
1122	7	6	6	6	5	5	6	6	6	6	7	5	5	5	5	5	7	7	6	6	5	4	5	6	7	5	6	9	7	6	5
440738	5	6	6	6	6	6	6	6	6	6	6	5	6	5	5	6	5	6	6	6	6	6	6	7	5	6	6	5	5	5	5
200150	5	6	5	5	6	5	6	6	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
9859	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	6	6	7	8	7	7	8	8	7	7
10000	7	7	6	8	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	6	6	7	7	7	8	7	8	9	8	8	8
159	8	8	8	8	7	7	8	8	8	7	8	8	8	7	7	8	8	8	8	8	7	7	7	7	8	8	8	9	9	8	8
111216275	8	8	7	8	7	8	7	7	7	9	8	7	7	7	7	7	8	8	8	7	7	8	8	8	8	7	7	9	7	7	8
255654	5	6	6	5	5	6	5	4	5	5	5	4	5	4	5	4	4	4	5	4	6	5	6	5	5	5	6	4	4	4	5
64216	6	6	7	6	6	6	6	7	6	7	7	7	6	6	6	6	7	6	6	6	7	6	6	6	6	6	6	7	9	6	7
79862	6	6	6	6	6	6	6	7	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
388759	6	6	5	5	6	6	5	6	5	6	5	6	6	6	6	5	6	5	5	6	6	6	6	6	5	5	5	5	5	5	6
84838	7	7	6	7	7	7	7	7	7	6	7	7	7	7	6	7	7	6	6	6	6	6	7	7	7	7	7	8	8	7	7
127623	5	5	5	5	6	5	5	5	5	5	4	5	4	6	5	4	5	5	5	5	5	4	5	5	4	5	5	4	4	5	5
81472	5	5	5	6	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	5	5	5	4	5	5
441933	5	6	5	5	6	6	6	6	5	5	5	5	5	5	5	5	5	5	6	6	5	7	5	5	5	5	5	5	4	6	5
26188	5	6	5	5	6	6	6	6	6	5	6	5	6	6	7	5	5	5	5	5	5	5	6	6	5	6	6	5	4	5	5
284532	6	7	6	5	7	7	7	6	6	5	6	6	6	6	7	5	5	6	6	5	6	6	6	7	5	6	5	5	5	5	5
391189	6	7	6	6	8	6	7	7	6	6	6	6	6	6	6	6	6	6	7	6	6	7	6	7	5	5	6	6	5	6	7
391195	5	6	5	5	5	5	5	6	7	5	5	5	5	5	6	4	4	4	5	4	5	6	5	6	5	5	5	4	4	4	5
127064	6	6	6	6	6	6	6	6	6	6	6	5	6	5	5	6	6	6	6	6	5	5	6	7	5	6	7	5	5	5	5
391196	5	7	5	6	5	6	6	4	5	6	4	5	6	5	6	5	4	4	5	5	5	5	5	8	5	7	7	5	4	5	6
127069	6	5	6	5	7	6	6	6	6	5	6	5	6	6	5	5	5	5	6	5	5	6	5	6	5	5	6	5	5	5	5
127077	5	6	5	6	6	6	6	6	5	6	5	6	6	6	6	5	5	5	5	6	5	6	6	6	5	5	6	5	5	5	6
81458	6	7	6	7	7	6	8	6	7	5	6	5	6	6	6	5	5	6	6	6	5	5	6	6	5	7	7	4	4	5	5
401994	5	5	4	5	5	6	5	5	5	4	4	5	5	5	5	5	5	5	5	6	4	5	5	5	4	4	5	4	4	4	5
646627	5	6	6	6	6	6	5	5	5	6	5	6	5	6	5	5	5	5	6	5	5	6	6	5	5	5	6	5	5	5	5
80851	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
55657	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7
101928626	5	7	5	7	7	6	8	5	6	6	5	5	6	5	6	5	5	5	6	5	5	5	6	6	4	7	7	5	4	5	4
4535	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
105376673	6	5	6	6	6	6	6	5	6	6	5	5	5	5	5	5	6	5	5	5	5	5	6	6	5	5	6	5	5	5	5
100526739	6	5	6	5	6	6	5	6	6	6	6	6	6	6	5	7	6	5	6	7	6	6	6	6	7	5	6	5	7	6	6
1187	6	4	5	5	5	5	5	5	5	4	5	5	5	5	4	4	4	5	5	5	5	5	5	5	4	6	5	5	4	4	4
101927876	5	6	5	5	6	5	5	6	5	5	5	5	5	5	6	5	5	6	5	5	6	5	6	5	5	6	6	4	4	5	5
105376879	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	5	5	5	6	5	5	6	6	6	5	6	6	5	5	5	6
84065	6	5	5	5	6	5	6	5	6	6	6	6	5	6	6	7	5	6	5	5	6	5	6	5	6	6	6	6	7	6	6
10450	7	7	7	8	7	7	7	7	7	7	8	7	6	7	6	8	7	6	6	7	7	6	7	7	8	7	7	7	8	7	7
101929536	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	5
4802	7	7	7	7	7	7	7	6	7	6	7	8	7	7	7	7	7	6	7	9	7	7	7	7	8	6	7	7	8	7	7
1580	5	6	5	6	6	5	5	6	5	5	5	5	6	6	6	4	5	5	5	5	7	6	6	6	4	5	5	4	4	5	5
374977	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6
5567	8	7	8	8	8	8	9	7	10	8	7	7	8	8	9	10	9	7	7	7	8	7	7	7	9	9	8	8	9	8	7
339524	5	6	5	5	5	5	6	6	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	5
25950	5	6	6	6	6	6	6	6	6	6	5	7	5	6	6	6	7	6	6	7	7	6	6	6	6	6	6	6	6	7	6
100996635	5	6	6	5	5	5	5	6	5	5	5	5	6	5	6	5	6	6	5	6	5	5	5	5	4	5	5	5	5	4	5
